class, frequency
Magic User	6
Banner Leader	10
Cleric	9
Bug Collector	4
Ant Farmer	4
Templar	44
Wing Commander	35
Eleleu Strategos	3
Commander	319
Archival Storyteller	7
Historian of the World	7
Shield Companion	2
Knight of the Dawn	5
Deathtouch Princess	8
Diligent Lord	5
Peerless Lance	1
Lancer of the Ages	3
Expert Rower	12
Peerless Marathon Sculler	1
Queen of Undeath	1
Sage’s Apprentice	1
Dragonfriend	2
Slaver	168
Servant of Nerrhavia	1
Witch	2451
Witch of Second Chances	32
Courteous Mugger	4
Courteous Knight	5
Aegiscaster	123
Grand Magus of Mind and Studies	4
Hedonistic Wastrel	1
Genius of Sloth	4
Knight Marshal of the Rains	13
Quarass	3
King of Intrigue	2
King of Blight, King of Centuries	1
Yodelling Lieutenant	1
Dragonslayer Strategist	4
Magus	17
Strategist Chieftain	3
Stoneshorn War Leader	4
War Strategist	4
Undying Lich, Myth of Death and Vengeance	3
Surgeon	11
Psychic Surgeon	3
Telepath	13
Prankster	33
Knight-Seeker of the Silver Dragon	6
Horrorbane Adventurer obtained	1
Horrorbane Adventurer	3
Trap Rogue	1
Pitfall Trapmaster Saboteur obtained	1
Pitfall Trapmaster Saboteur	1
Baker	105
Kind Baker	1
Baker of Presents, Gifted Chef	3
Chef	396
Bridge of the Martial World	6
Strongest of the Martial Age	8
Strongest Martial Artist of Pomle	3
Magicbane Superior Martial Artist	1
Superior Martial Artist	4
Tree Collector	6
Clandestine Chieftain of the Arrow	1
Dreamer	33
Strategist Chieftain of Reclamation	2
Modern-Day Boxer	1
Healer	702
Selphid Telekinetic	3
Healer → Headstrong Healer	1
Headstrong Healer	2
Telekinetic	3
Death-defying Skateboarder	1
Visionary of Flight	4
Sailing Admiral	1
Intractable Admiral of Sacrifice	4
Knight of Honor’s Ember	5
Deathtouched Survivor	2
Wingman	11
Grandmaster Knight of Honor’s Flame	2
Paladin of Fire’s Oath	5
Knight of the Glittering Blade	2
Indomitable Knight-Warden	3
Pyre-Knight of Glory	3
Knight-Artisan of Bones	4
Magical Knight-Seeker of Mershi	1
Spell Knight of Mercy	2
Knight of Death and Dawn	1
Knight-Archer of Lost Flames	2
Worldtraveller Inkfriend	3
Clandestine Spy	1
Spy of the Captured Moment	6
Doorgnoll	19
Wall Lord of a Thousand Exchanges, Coin and Sword	1
Crossbow Speed Hunter	1
Vampire Hunter	4
Driver	200
Alchemist	1144
Bird Hunter	42
Bow-Warden of the Songbird	3
Queen	424
Antinium Queen	3
Queen of Freedom	3
Bow-Singer Queen of the Free Antinium	3
Amazing Liar	3
Flower of Izril, Lady of the Dragon’s Promise	3
Virtuous King, Arm of Giants	1
Fist of the Living World	4
Reader	27
Seeker	3
Djinn’s Legacy Seeker	2
Sariantfriend	8
Conditions Met: Deathbane Necromancer → Necromancer of Reclaimed Grandeur	1
Necromancer of Reclaimed Grandeur	3
Duelist of Wistram	4
Antinium Explorer	3
Ultimate Supporter	27
The Wandering Innkeeper	29
Princess of the Inn	12
Graduate Battlemage	1
Overlands Adventurer	2
Troublemaker	2
Alchemiaform Oldblood, Grand Alchemist of War	1
Class Change: Prankster -> Trickster of Crowns	1
Trickster of Crowns	3
Mathematician of the Fundament	1
Nemesis of Goblins, Ranger of Renown	4
Farm Lady	1
Emperor of Farmlands	3
Outworld Translator	2
Witch of Malice	1
Aerial Flier	8
Scribblequill Student	5
Druid of the Lucky World, Child of Omens; Ember of the Eternal Solstice	2
Last Survivor	16
Gearhead Cyclist	4
Indomitable Champion	5
Supreme Chevalier of…	1
Conditions Overridden: Goblin Lord	1
Goblin Lord	3
Goblin Lord {Unaffiliated} – “Rabbiteater of Champions”,	1
Financier of Fortunes	4
Relicbound Arctic Cryomancer	1
Half-Elf	1
Boreal Half-Elf Species	1
Witch of Remorse	2
Fatebreaker Child class created	1
Fatebreaker Child	13
Thronebearer of Wards	3
Thronebearer of the 6th Princess	1
Student of Grandmasters	3
General of Will, Wardchild of the Savior	1
Golem-Lord of Enduring Dignity	1
Survivor of Trials	2
Blademaster of the Crimson Field	1
Blademaster, the Path of Legends	2
Fighter Pilot	50
Skeleton Warrior	10
Skeleton Knight	16
Clown	233
Hero	264
